,posted,recommend_percentage,sum_review
0,2010-10-16,100.0,1
1,2010-10-25,100.0,1
2,2010-11-19,100.0,1
3,2010-11-20,100.0,2
4,2010-11-22,100.0,3
5,2010-11-23,100.0,1
6,2010-11-24,100.0,2
7,2010-11-25,100.0,1
8,2010-11-26,100.0,5
9,2010-11-28,100.0,1
10,2010-11-30,100.0,1
11,2010-12-03,100.0,1
12,2010-12-07,100.0,3
13,2010-12-09,100.0,1
14,2010-12-11,100.0,1
15,2010-12-12,100.0,2
16,2010-12-14,100.0,2
17,2010-12-15,100.0,2
18,2010-12-16,100.0,1
19,2010-12-17,100.0,1
20,2010-12-18,90.9090909090909,11
21,2010-12-19,100.0,4
22,2010-12-20,100.0,5
23,2010-12-21,100.0,1
24,2010-12-23,100.0,1
25,2010-12-24,100.0,1
26,2010-12-25,100.0,2
27,2010-12-26,100.0,2
28,2010-12-27,100.0,1
29,2010-12-28,100.0,4
30,2010-12-31,100.0,1
31,2011-01-03,100.0,2
32,2011-01-04,100.0,1
33,2011-01-05,100.0,2
34,2011-01-07,100.0,1
35,2011-01-08,100.0,1
36,2011-01-12,100.0,1
37,2011-01-15,100.0,1
38,2011-01-17,100.0,1
39,2011-01-21,100.0,2
40,2011-01-22,100.0,2
41,2011-01-23,100.0,1
42,2011-01-26,100.0,1
43,2011-01-27,100.0,4
44,2011-01-28,100.0,1
45,2011-01-29,100.0,3
46,2011-01-30,100.0,1
47,2011-02-04,100.0,1
48,2011-02-05,100.0,6
49,2011-02-09,100.0,1
50,2011-02-14,100.0,1
51,2011-02-15,100.0,2
52,2011-02-17,100.0,1
53,2011-02-20,100.0,1
54,2011-02-22,100.0,1
55,2011-02-25,100.0,2
56,2011-02-27,100.0,2
57,2011-02-28,100.0,3
58,2011-03-05,100.0,1
59,2011-03-06,50.0,2
60,2011-03-10,100.0,2
61,2011-03-11,100.0,1
62,2011-03-19,100.0,2
63,2011-03-21,100.0,1
64,2011-03-22,100.0,3
65,2011-03-25,100.0,1
66,2011-03-26,100.0,1
67,2011-04-03,100.0,1
68,2011-04-15,100.0,1
69,2011-04-20,100.0,4
70,2011-04-21,100.0,1
71,2011-04-22,100.0,2
72,2011-04-25,100.0,2
73,2011-04-26,100.0,1
74,2011-05-02,100.0,1
75,2011-05-03,100.0,2
76,2011-05-06,100.0,1
77,2011-05-09,100.0,2
78,2011-05-10,100.0,1
79,2011-05-16,100.0,1
80,2011-05-17,100.0,2
81,2011-05-18,100.0,1
82,2011-05-19,100.0,1
83,2011-05-20,100.0,1
84,2011-05-21,100.0,2
85,2011-05-26,100.0,1
86,2011-05-28,100.0,1
87,2011-05-29,100.0,2
88,2011-06-02,66.66666666666666,3
89,2011-06-03,100.0,1
90,2011-06-04,100.0,1
91,2011-06-05,100.0,1
92,2011-06-06,100.0,2
93,2011-06-08,100.0,3
94,2011-06-11,100.0,3
95,2011-06-13,100.0,1
96,2011-06-15,100.0,1
97,2011-06-18,100.0,1
98,2011-06-19,100.0,1
99,2011-06-20,100.0,3
100,2011-06-22,100.0,2
101,2011-06-24,100.0,10
102,2011-06-26,100.0,1
103,2011-06-27,100.0,2
104,2011-07-01,100.0,4
105,2011-07-02,100.0,2
106,2011-07-03,100.0,25
107,2011-07-04,100.0,18
108,2011-07-05,100.0,5
109,2011-07-06,100.0,6
110,2011-07-07,100.0,4
111,2011-07-08,100.0,3
112,2011-07-09,100.0,6
113,2011-07-10,100.0,5
114,2011-07-11,100.0,1
115,2011-07-12,100.0,1
116,2011-07-13,100.0,1
117,2011-07-14,100.0,2
118,2011-07-15,100.0,1
119,2011-07-16,100.0,2
120,2011-07-17,100.0,2
121,2011-07-19,0.0,1
122,2011-07-22,100.0,3
123,2011-07-24,100.0,6
124,2011-07-25,100.0,1
125,2011-07-27,100.0,2
126,2011-07-28,100.0,3
127,2011-07-29,100.0,2
128,2011-07-30,100.0,3
129,2011-07-31,100.0,1
130,2011-08-01,100.0,2
131,2011-08-02,100.0,2
132,2011-08-03,100.0,3
133,2011-08-04,100.0,2
134,2011-08-05,100.0,1
135,2011-08-06,100.0,1
136,2011-08-07,100.0,1
137,2011-08-11,100.0,1
138,2011-08-14,100.0,2
139,2011-08-15,100.0,2
140,2011-08-17,100.0,2
141,2011-08-18,100.0,2
142,2011-08-19,100.0,2
143,2011-08-21,100.0,3
144,2011-08-23,100.0,2
145,2011-08-24,100.0,2
146,2011-08-25,100.0,2
147,2011-08-27,100.0,1
148,2011-08-28,100.0,1
149,2011-08-31,100.0,2
150,2011-09-04,100.0,1
151,2011-09-06,100.0,2
152,2011-09-07,100.0,1
153,2011-09-08,100.0,1
154,2011-09-09,66.66666666666666,3
155,2011-09-10,100.0,2
156,2011-09-11,100.0,1
157,2011-09-12,100.0,1
158,2011-09-14,100.0,1
159,2011-09-15,100.0,1
160,2011-09-16,100.0,4
161,2011-09-19,100.0,2
162,2011-09-20,100.0,1
163,2011-09-21,100.0,1
164,2011-09-22,100.0,4
165,2011-09-23,100.0,2
166,2011-09-24,100.0,1
167,2011-09-25,100.0,1
168,2011-09-26,100.0,1
169,2011-09-28,100.0,1
170,2011-09-29,100.0,1
171,2011-09-30,100.0,2
172,2011-10-01,100.0,1
173,2011-10-03,100.0,4
174,2011-10-05,100.0,1
175,2011-10-06,66.66666666666666,3
176,2011-10-07,100.0,3
177,2011-10-08,66.66666666666666,3
178,2011-10-10,100.0,2
179,2011-10-12,100.0,1
180,2011-10-13,100.0,1
181,2011-10-15,100.0,2
182,2011-10-18,100.0,3
183,2011-10-20,100.0,3
184,2011-10-21,100.0,2
185,2011-10-24,100.0,2
186,2011-10-26,100.0,1
187,2011-10-27,100.0,1
188,2011-10-28,100.0,2
189,2011-10-30,100.0,2
190,2011-10-31,100.0,1
191,2011-11-03,100.0,4
192,2011-11-04,100.0,1
193,2011-11-05,100.0,3
194,2011-11-08,100.0,2
195,2011-11-09,100.0,2
196,2011-11-11,100.0,1
197,2011-11-14,100.0,4
198,2011-11-15,100.0,1
199,2011-11-16,100.0,1
200,2011-11-17,50.0,2
201,2011-11-21,100.0,1
202,2011-11-22,100.0,1
203,2011-11-25,80.0,5
204,2011-11-26,100.0,2
205,2011-11-27,100.0,2
206,2011-11-29,100.0,1
207,2011-11-30,100.0,1
208,2011-12-02,100.0,1
209,2011-12-03,100.0,3
210,2011-12-04,100.0,2
211,2011-12-06,100.0,1
212,2011-12-08,100.0,3
213,2011-12-09,100.0,2
214,2011-12-10,100.0,2
215,2011-12-13,100.0,5
216,2011-12-14,100.0,1
217,2011-12-15,100.0,3
218,2011-12-16,100.0,1
219,2011-12-17,100.0,3
220,2011-12-18,100.0,1
221,2011-12-20,100.0,3
222,2011-12-21,100.0,2
223,2011-12-22,100.0,2
224,2011-12-23,66.66666666666666,3
225,2011-12-24,100.0,2
226,2011-12-25,100.0,1
227,2011-12-26,100.0,2
228,2011-12-27,96.66666666666667,60
229,2011-12-28,96.0,25
230,2011-12-29,100.0,11
231,2011-12-30,100.0,9
232,2011-12-31,100.0,4
233,2012-01-01,100.0,5
234,2012-01-02,100.0,8
235,2012-01-04,100.0,1
236,2012-01-05,100.0,1
237,2012-01-06,100.0,2
238,2012-01-08,100.0,2
239,2012-01-09,100.0,1
240,2012-01-10,100.0,1
241,2012-01-11,100.0,4
242,2012-01-13,100.0,1
243,2012-01-14,100.0,2
244,2012-01-18,100.0,2
