,developer,release_date,price
0,+7 Software,2016,0.0
1,"+Mpact Games, LLC.",2017,0.0
2,.M.Y.W.,2016,0.0
3,.ez Games,2017,0.0
4,07th Expansion,2015,0.0
5,07th Expansion,2016,0.0
6,07th Expansion,2017,0.0
7,08 Games,2016,0.0
8,100 Plus Games llc,2017,0.0
9,100 Stones Interactive,2016,0.0
10,100 Stones Interactive,2017,0.0
11,10101 Software,2016,0.0
12,10ft Games,2017,0.0
13,10kbit Games,2017,0.0
14,10ravens s.r.o.,2017,0.0
15,"10th Art Studio,Adventure Productions",2014,0.0
16,10tons Ltd,2012,0.0
17,10tons Ltd,2014,0.0
18,10tons Ltd,2015,0.0
19,10tons Ltd,2016,0.0
20,10tons Ltd,2017,0.0
21,10x10 Room,2017,0.0
22,11 bit studios,2011,0.0
23,11 bit studios,2013,0.25
24,11 bit studios,2014,0.0
25,11 bit studios,2015,0.0
26,11 bit studios,2016,0.0
27,12 East Games,2017,0.0
28,12 Hit Combo,2016,0.0
29,1337 &amp; Senri AB,2015,0.0
30,13AM Games,2016,0.0
31,14 Dimension Enterprise,2017,0.0
32,14 Hours Productions,2017,0.5
33,14Dimension Enterprise,2015,0.0
34,14Dimension Enterprise,2016,0.0
35,14° East,2001,0.0
36,16 Swans,2017,0.0
37,16bit Nights,2016,0.0
38,17-BIT,2013,0.0
39,17-BIT,2015,0.0
40,17Studio,2016,0.0
41,1888 Games,2016,0.0
42,1C Company,2004,0.0
43,1C Company,2007,0.0
44,1C Company,2008,0.0
45,1C Company,2009,0.0
46,1C Company,2010,0.0
47,1C Company,2011,0.0
48,"1C Game Studios,777 Studios",2016,0.0
49,1C Wireless,2014,0.0
50,1C Wireless,2015,0.0
51,1C-Avalon,2011,0.0
52,1C-SoftClub,2012,0.0
53,1C-SoftClub,2014,0.0
54,1C: Maddox Games,2006,0.0
55,1C: Maddox Games,2011,1.0
56,1C:InoCo,2009,0.0
57,1C:InoCo,2010,0.0
58,1C:InoCo,2011,0.0
59,1CC Games,2016,0.0
60,2 Monkeys,2016,0.0
61,2 Zombie Games,2017,0.0
62,2 players,2016,0.0
63,2-Volt Games,2017,1.0
64,2015,2004,0.0
65,2020 Venture,2016,0.0
66,20letpast,2017,0.0
67,22cans,2016,0.0
68,22cans,2017,0.0
69,24 Caret Games,2013,0.0
70,251 Games,2014,0.0
71,26k,2017,0.0
72,29Palms Scenery Design,2016,0.0
73,"29Palms,JaraNet",2017,0.0
74,2Awesome Studio,2017,0.0
75,2B_GAMES,2016,0.0
76,2Beats,2017,0.0
77,2Bit Studios,2016,0.0
78,"2Chance Projects,IIchan Eroge Team",2015,1.0
79,"2Chance Projects,IIchan Eroge Team,DjSM",2017,0.0
80,2D BOY,2008,0.0
81,"2D Heroes,Ursa Games",2016,0.0
82,"2D Heroes,Ursa Games",2017,0.0
83,2DArray,2013,0.0
84,2DEngine,2011,0.0
85,2DEngine,2015,0.0
86,2DEngine.com,2008,0.0
87,2DHD,2016,0.0
88,2Dog Games,2017,0.0
89,"2K Australia,Gearbox Software,Aspyr (Mac &amp; Linux)",2014,0.0
90,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)",2014,0.0
91,"2K Australia,Gearbox Software,Aspyr (Mac, Linux)",2014,0.0
92,"2K Australia,Gearbox Software,Aspyr (Mac, Linux)",2015,0.0
93,"2K Australia,Gearbox Software,Aspyr (Mac,Linux)",2014,0.0
94,"2K Boston,2K Australia",2007,0.0
95,"2K Boston,2K Australia,Blind Squirrel,Feral Interactive (Mac)",2016,0.0
96,2K Czech,2010,0.0
97,"2K Czech,Feral Interactive (Mac)",2010,0.0
98,"2K Czech,Feral Interactive (Mac)",2011,0.0
99,2K Marin,2013,0.0
100,"2K Marin,2K China,Digital Extremes,2K Australia,Blind Squirrel",2016,0.0
101,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)",2010,0.0
102,2Pi Interactive Pvt. Ltd.,2016,0.0
103,2Play,2013,0.0
104,"2Play,Fredrik Häthén Music",2017,0.0
105,"2Play,Prasius",2017,0.0
106,2SD,2015,0.0
107,"2XL Games,Blitworks",2017,0.0
108,2by3 Games,2010,0.0
109,2by3 Games,2012,0.0
110,2by3 Games,2013,0.0
111,2by3 Games,2014,0.0
112,2by3 Games,2015,0.0
113,2x2 Games,2012,0.0
114,2x2 Games,2013,0.0
115,2xMilk,2017,0.0
116,3 Core Studio,2013,0.0
117,3 Fright,2016,0.0
118,3 Minute Games,2017,0.0
119,3 Sprockets,2012,0.0
120,3 Sprockets,2013,0.0
121,3 Sprockets,2014,0.0
122,3 Sprockets,2017,0.0
