genres,playtime_forever,Top
Action,3113513264,Top 1
Indie,1494585241,Top 2
RPG,1041009192,Top 3
Adventure,909972529,Top 4
Simulation,867645200,Top 5
Strategy,659343096,Top 6
Free to Play,610752945,Top 7
Massively Multiplayer,446594080,Top 8
Casual,252211836,Top 9
Early Access,158700679,Top 10
Sports,65848585,Top 11
Racing,63698455,Top 12
Utilities,4702399,Top 13
Design and Illustration,4102258,Top 14
Web Publishing,2780605,Top 15
Video Production,2408892,Top 16
Animation and Modeling,2001416,Top 17
Software Training,571032,Top 18
Audio Production,556002,Top 19
Education,415556,Top 20
Photo Editing,115425,Top 21
