,user_id,items_count,price,recommend
0,--000--,58,402.77000000000004,100.0
1,--ace--,44,166.82,100.0
2,--ionex--,23,109.92,100.0
3,-2SV-vuLB-Kg,68,437.49,100.0
4,-404PageNotFound-,149,1514.31,Sin Recomendaciones
5,-AnimeIsMyThing-,127,1199.43,Sin Recomendaciones
6,-Azsael-,167,2461.68,100.0
7,-Beave-,47,54.95,100.0
8,-Encore-,24,287.78,Sin Recomendaciones
9,-GM-Dragon,106,822.47,50.0
10,-I_AM_EPIC-,20,129.94,100.0
11,-JT,26,229.85999999999999,Sin Recomendaciones
12,-Kenny,118,1563.12,100.0
13,-KillZone-,114,1225.28,Sin Recomendaciones
14,-Mad-,367,3680.18,100.0
15,-Naughty-,62,482.75,Sin Recomendaciones
16,-PRoSlayeR-,529,2540.33,50.0
17,-SEVEN-,394,3641.04,77.77777777777779
18,-SatansLittleHelper-,28,323.78000000000003,100.0
19,-Thyme-,43,519.68,100.0
20,-Ultrix,131,1467.68,100.0
21,-Uplink-,123,1516.1699999999998,Sin Recomendaciones
22,-Zovix-,51,224.87,100.0
23,-_PussyDestroyer_-,51,360.68,60.0
24,-_skIzZ_-,40,374.81,Sin Recomendaciones
25,-fastrvrs-,18,195.89,Sin Recomendaciones
26,-iBubble,15,127.88,Sin Recomendaciones
27,-kainey9777,69,1027.53,100.0
28,-xKyox-,49,195.85,Sin Recomendaciones
29,0-3-0,139,1639.9399999999998,100.0
30,00000000000000000001227,93,1072.28,100.0
31,00000003010,59,331.7,Sin Recomendaciones
32,0000FF,25,144.91,Sin Recomendaciones
33,000Infinity000,30,109.97,Sin Recomendaciones
34,001000111000111000010,71,753.4,100.0
35,001002130882,3,14.99,Sin Recomendaciones
36,001010001,48,325.81,Sin Recomendaciones
37,0041287,34,144.92,Sin Recomendaciones
38,00454211432342,24,137.88,50.0
39,005577,231,2926.25,Sin Recomendaciones
40,00690069006900,102,801.35,100.0
41,0071945,373,4970.8,Sin Recomendaciones
42,007Pro,1,0.0,Sin Recomendaciones
43,007james_bond,178,2128.6,Sin Recomendaciones
44,007thesilence,49,596.67,Sin Recomendaciones
45,00810cccyyykkk,7,19.98,100.0
46,008port,71,418.67,Sin Recomendaciones
47,0099654321891111,23,188.86,100.0
48,00True,28,302.86,100.0
49,00nana,9,29.98,Sin Recomendaciones
50,01001000-01101001,88,1338.21,100.0
51,010195345,2,0.0,Sin Recomendaciones
52,0102705195,3,0.0,Sin Recomendaciones
53,010607,28,220.79999999999998,Sin Recomendaciones
54,011000100001000111,76,851.31,Sin Recomendaciones
55,011011010111001000101110,26,101.88,100.0
56,011111135489484797,5,29.979999999999997,100.0
57,01120477677,29,233.88,Sin Recomendaciones
58,0112937783,31,434.8,Sin Recomendaciones
59,01189958889189157253,159,1869.74,83.33333333333334
60,0118999881999119,139,1314.94,Sin Recomendaciones
61,01221733,125,563.6,100.0
62,0136849195,62,133.91,100.0
63,01398279857934,11,14.99,Sin Recomendaciones
64,018302,42,507.66999999999996,Sin Recomendaciones
65,01shan,5,24.98,100.0
66,0212030,7,104.94999999999999,Sin Recomendaciones
67,022899,80,1163.38,100.0
68,0248359,10,223.88,Sin Recomendaciones
69,025652,3,0.0,Sin Recomendaciones
70,0271975108,62,694.67,Sin Recomendaciones
71,0305089,97,587.55,Sin Recomendaciones
72,03092002,24,255.89,100.0
73,03375616256,2,9.99,Sin Recomendaciones
74,0402593613,6,19.98,Sin Recomendaciones
75,04061993,214,1019.3,100.0
76,04092013,128,622.0799999999999,100.0
77,041112016,98,1379.26,Sin Recomendaciones
78,0412734634,20,59.96,100.0
79,0412827540,27,149.9,Sin Recomendaciones
80,042153100,118,1547.21,50.0
81,0421874858,31,342.78999999999996,Sin Recomendaciones
82,04280122,113,1265.1499999999999,100.0
83,0432-026-no,14,79.93,100.0
84,04536829290339393838,28,130.89,Sin Recomendaciones
85,0468313256,86,99.88,100.0
86,0488456,22,249.86,Sin Recomendaciones
87,05041129,35,277.78,66.66666666666666
88,05461025,53,560.59,100.0
89,05511301,159,1582.72,Sin Recomendaciones
90,05zhehan,16,89.94999999999999,Sin Recomendaciones
91,066600,72,468.8,Sin Recomendaciones
92,0700464574757,48,383.71999999999997,100.0
93,07846813956825,92,1156.31,0.0
94,0800135723,1,0.0,Sin Recomendaciones
95,0814551,48,176.88,Sin Recomendaciones
96,0827777,11,0.99,Sin Recomendaciones
97,0833422708,1,0.0,Sin Recomendaciones
98,0854029092,5,19.99,100.0
99,0862770364,23,148.92000000000002,Sin Recomendaciones
100,0896398616,184,1124.68,100.0
101,0898786879898,7,69.96,Sin Recomendaciones
102,08alross,313,4160.64,Sin Recomendaciones
103,0903512455,41,199.85,100.0
104,09106,176,1212.07,100.0
105,091263,369,3098.59,100.0
106,092688110,1,0.0,Sin Recomendaciones
107,092982943,28,94.92999999999999,Sin Recomendaciones
108,0935659130,59,471.75,Sin Recomendaciones
109,094553552,89,694.54,100.0
110,095732,30,179.86,66.66666666666666
111,095843067,239,2705.57,100.0
112,098765432108642,12,179.91,Sin Recomendaciones
113,09876543231,25,215.82999999999998,100.0
114,098766catdogbnmnnn,42,227.84,100.0
115,09895749373554,33,345.74,Sin Recomendaciones
116,0996633,56,606.69,Sin Recomendaciones
117,0FI3MWAJS2849023N,36,336.77,Sin Recomendaciones
118,0fficiaIfIaw,23,38.97,Sin Recomendaciones
119,0nlyb0nes,22,224.91,Sin Recomendaciones
120,0rangeZ3r0,29,143.88,Sin Recomendaciones
121,0x0B00B135,59,505.61,Sin Recomendaciones
122,0x426F,149,1733.82,Sin Recomendaciones
123,1-800-Invisible,536,5846.98,Sin Recomendaciones
124,10000000thVisitor,106,1105.18,100.0
125,1000000sdsd,22,59.96,Sin Recomendaciones
126,100002077293140,1,0.0,Sin Recomendaciones
127,100011101011,31,347.84,Sin Recomendaciones
128,1000jaus,50,642.64,Sin Recomendaciones
129,1001101001110101,286,3403.6,0.0
130,100355,50,524.66,Sin Recomendaciones
131,10051997,130,1254.16,100.0
132,10101010101010109,307,3769.07,100.0
133,101010101111,42,382.8,100.0
134,101010102,8,70.93,Sin Recomendaciones
135,1010102,45,223.85,Sin Recomendaciones
136,101013483181348,7,14.99,Sin Recomendaciones
137,1010231464,9,44.97,Sin Recomendaciones
138,1011001,128,1228.16,90.0
139,1011010101101101010101,52,644.52,Sin Recomendaciones
140,1011012001,14,49.96,Sin Recomendaciones
141,101316,21,254.84,Sin Recomendaciones
142,1016523030,6,0.0,100.0
143,101676057,29,270.86,Sin Recomendaciones
144,10197226,36,276.73,100.0
145,101thegreenguy,98,1277.59,Sin Recomendaciones
146,102547508,13,24.979999999999997,Sin Recomendaciones
147,102598615,45,166.85,100.0
148,1032165460,7,64.95,Sin Recomendaciones
149,1052218979baidu,21,242.85999999999999,Sin Recomendaciones
150,10817,38,339.79,Sin Recomendaciones
151,109284293753647,150,1842.8999999999999,Sin Recomendaciones
152,10936543792,109,1038.24,100.0
153,10948278193,31,69.96,Sin Recomendaciones
154,109654,1,0.0,Sin Recomendaciones
155,109leonidas,178,1841.86,Sin Recomendaciones
156,10Degree,150,1323.04,100.0
157,10gp,21,169.89,Sin Recomendaciones
158,10outof10matee,56,1209.24,Sin Recomendaciones
159,10oyard,20,209.88,100.0
160,11010011011,140,1617.99,Sin Recomendaciones
161,1101167413,42,533.65,Sin Recomendaciones
162,110211021,73,488.62,50.0
163,110321565469,76,822.98,Sin Recomendaciones
164,1103703132946,65,727.54,100.0
165,111190869,62,803.55,100.0
166,111222333222111,28,279.82,Sin Recomendaciones
167,111222333444555666888,52,1161.36,85.71428571428571
168,11123xxx3122,10,59.95,Sin Recomendaciones
169,11124,44,445.7,0.0
170,11141995,47,571.57,Sin Recomendaciones
171,111s,242,2286.21,Sin Recomendaciones
172,111zerosen,65,419.52,100.0
173,1122305938,177,2394.74,75.0
174,112asdasfasdasd,23,0.0,100.0
175,11345678,34,252.85,Sin Recomendaciones
176,113595,76,1064.3999999999999,100.0
177,1136579070,82,686.5899999999999,100.0
178,11464789,37,306.78000000000003,Sin Recomendaciones
179,11567jj,102,466.74,100.0
180,1163321,56,361.81,Sin Recomendaciones
181,117007,15,129.92,Sin Recomendaciones
182,117331,67,346.74,100.0
183,117a2,11,119.92999999999999,Sin Recomendaciones
184,117arbiter,166,1665.48,100.0
185,11925219096,70,727.6,100.0
186,119922883377446655123456789,60,268.81,0.0
187,11XGX,215,2705.2999999999997,50.0
188,12021988,3,0.0,Sin Recomendaciones
189,120445,120,935.77,100.0
190,120488700,21,264.92,100.0
191,12110604,16,194.89,Sin Recomendaciones
192,1212343456567878909,33,340.82,100.0
193,12123871234989120,33,147.88,Sin Recomendaciones
194,12125,126,1352.1599999999999,100.0
195,1214551565454556,4,0.0,Sin Recomendaciones
196,121478,129,1634.18,Sin Recomendaciones
197,121598558,9,0.0,Sin Recomendaciones
198,12223536,177,2115.87,50.0
199,122249_700b,38,318.74,Sin Recomendaciones
200,122799,17,54.97,Sin Recomendaciones
201,123123123131231231,43,295.87,100.0
202,12312312332123,31,210.85,100.0
203,12312341244123,50,524.76,Sin Recomendaciones
204,1231343263534243534,48,540.65,Sin Recomendaciones
205,123232343432555686888554456555,65,628.66,100.0
206,1232999,64,732.67,Sin Recomendaciones
207,12332165478953761,59,763.51,100.0
208,1233451231252123,77,204.91000000000003,Sin Recomendaciones
209,1233zaazen,33,390.8,Sin Recomendaciones
210,12341008,3,14.99,Sin Recomendaciones
211,12341846,28,301.77,100.0
212,1234321115,46,524.68,Sin Recomendaciones
213,1234455565,2,19.99,Sin Recomendaciones
214,12345123456,33,312.82,Sin Recomendaciones
215,1234567124567,38,444.75,Sin Recomendaciones
216,12345676543456789098543,73,442.7,100.0
217,1234567810132,48,144.85,100.0
218,123456787654329,131,1587.91,Sin Recomendaciones
219,12345678901234567890123456567890,206,2874.36,85.71428571428571
220,1234567890192837465,98,865.51,100.0
221,1234567890qweccrtht,41,377.78999999999996,Sin Recomendaciones
222,1234567890qwertyuiop,4,34.98,Sin Recomendaciones
223,12345678910123,2,4.99,Sin Recomendaciones
224,12345678910a,81,1168.3899999999999,100.0
225,1234567898354127873,10,44.95,Sin Recomendaciones
226,123456789874561232145678,269,2852.08,100.0
227,123456789_Kappa,37,410.25,Sin Recomendaciones
228,123456789diamond987654321,71,705.53,100.0
229,1234567io9872345678765432,155,1361.07,87.5
230,12345gh,17,204.92000000000002,Sin Recomendaciones
231,1234865654,76,463.64,100.0
232,1234derpaa,44,434.72999999999996,Sin Recomendaciones
233,12391939123,124,839.89,100.0
234,12398uf8jg21390,35,312.77,100.0
235,12399017,25,160.82999999999998,Sin Recomendaciones
236,123abc321,2,0.0,Sin Recomendaciones
237,123abccba,91,1035.4,Sin Recomendaciones
238,123amazing123,48,320.84,Sin Recomendaciones
239,123curssin123,52,409.81,Sin Recomendaciones
240,123franz789,15,54.97,Sin Recomendaciones
241,123joshua321,87,945.29,100.0
242,123repulseMe,137,1097.24,100.0
243,123sharpshooter123,2,0.0,Sin Recomendaciones
